"as_of_date","days_delinquent_old","days_delinquent_new","new_outstanding_principal_balance","initial_loan_amount","fico","sales_channel__c","type","current_collection_method","term","lender_payoff","average_bank_balance__c","last_cleared_payment_date"
2012-11-01,10,16,60542.9,75000,700,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,9210.53,2012-10-29
2012-11-01,1,4,11380.16,17000,646,"Direct","Loan - Renewal","ACH Pull",6,0,2683.58,2012-10-31
2012-11-01,47,66,15000,15000,661,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3649.57,2012-08-28
2012-11-01,1,3,11532.41,13300,634,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1423.12,2012-11-01
2012-11-01,13,13,7687.45,25000,695,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,1427.59,2012-11-01
2012-11-01,4,17,10777.7,15000,655,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,39010.45,2012-10-30
2012-11-01,6,21,7922.37,20000,578,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3982.18,2012-10-30
2012-11-01,180,180,959.07,35000,650,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3180.78,2011-04-28
2012-11-01,1,0,21316.33,35000,724,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,12219.15,2012-11-01
2012-11-01,1,1,13187.32,15000,671,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4852.45,2012-11-01
2012-11-01,1,1,33603.87,40000,652,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",18,0,4922.32,2012-11-01
2012-11-01,11,30,17519.4,25000,501,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,13577.19,2012-10-17
2012-11-01,32,41,20596.51,25000,740,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,4995.07,2012-10-30
2012-11-01,24,43,37249.49,50000,702,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,14153.13,2012-09-27
2012-11-01,1,1,15567.7,25000,693,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,3109.2,2012-11-01
2012-11-01,64,83,11405.32,15000,596,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,10219.72,2012-08-01
2012-11-01,1,1,11282.01,20000,679,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,0,4928.68,2012-11-01
2012-11-01,25,44,6000,6000,645,"Direct","Loan - New Customer","ACH Pull",6,0,2077.34,2012-09-28
2012-11-01,50,69,4949.48,10000,679,"Referral","Loan - New Customer","ACH Pull",6,0,1066.68,2012-09-11
2012-11-01,20,39,20000,20000,640,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4640.94,2012-10-03
2012-11-01,4,20,7264.11,10000,660,"Direct","Loan - New Customer","ACH Pull",6,0,1326.19,2012-10-26
2012-11-01,30,49,73301.52,75000,611,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,13080,2012-09-19
2012-11-01,61,80,7000,7000,625,"Referral","Loan - Renewal","ACH Pull",6,0,2570.01,2012-08-06
2012-11-01,44,0,9446.46,25000,517,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,11672.71,2206.9,2012-08-29
2012-11-01,10,29,25000,25000,644,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,2968,7160.13,2012-10-18
2012-11-01,129,0,0.58,25000,762,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5603.02,2011-12-14
2012-11-01,7,7,23199.26,35000,603,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3124.68,2012-11-01
2012-11-01,1,0,3078.14,20000,720,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",6,0,6726.82,2012-11-01
2012-11-01,5,5,6869.79,10000,644,"Referral","Loan - New Customer","ACH Pull",6,0,4158.99,2012-11-01
2012-11-01,29,48,13526.35,15000,556,"Direct","Loan - New Customer","ACH Pull",6,0,41124.68,2012-09-24
2012-11-01,9,14,68963.74,85000,662,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,35140.33,2012-10-22
2012-11-01,5,5,21087.57,30000,681,"Direct","Loan - Renewal","ACH Pull",9,0,11600.33,2012-11-01
2012-11-01,1,1,5115.59,25000,631,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4004.11,2012-11-01
2012-11-01,49,68,20955.01,21000,648,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,12482.34,2484.98,2012-08-15
2012-11-01,61,80,19675.79,40000,657,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,8288.81,2012-07-11
2012-11-01,1,7,20328.62,30000,720,"Direct","Loan - New Customer","ACH Pull",6,0,14997.24,2012-10-31
2012-11-01,168,0,0,10000,680,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,18888.44,2011-11-14
2012-11-01,53,72,3940.24,6000,507,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2141.85,2012-08-16
2012-11-01,1,1,5976,9000,590,"Referral","Loan - New Customer","ACH Pull",6,0,1955.49,2012-11-01
2012-11-01,15,15,19022.68,50000,689,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,8986.58,2012-11-01
2012-11-01,9,0,1764.61,50000,679,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,9122.06,2012-11-01
2012-11-01,16,35,26548.38,50000,632,"Direct","Loan - Renewal","ACH Pull",12,0,5456.6,2012-10-24
2012-11-01,31,50,5286.62,6000,605,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1486.23,2012-09-18
2012-11-01,61,0,4374.25,20000,632,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,7588.62,2012-11-01
